Index,acquirers,0,1,2,3,4,5,6,7,8,9
2990,FNB Bancorp,FNB BANCORP,MNB BANCORP,CNB BANCORP,FSB BANCORP,"FNB BANCORP, INC.",RSNB BANCORP,FMSB BANCORP,"FNBH BANCORP, INC.","FCNB BANCORP, INC.","CCFNB BANCORP, INC."
2991,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HARRIS TAUBMAN FINANCIAL CORPORATION,NORTHERN STATES FINANCIAL CORPORATION,"NEBRASKALAND FINANCIAL SERVICES, INC.",SOUTHEASTERN BANK FINANCIAL CORPORATION,TRUSTATLANTIC FINANCIAL CORPORATION,FARMERS AND MERCHANTS FINANCIAL CORPORATION,BANK OF HIGHLAND PARK FINANCIAL CORP
2992,Southwest Bancorp,"SOUTHWEST BANCORP, INC.","SOUTHWESTERN BANCORP, INC.",NORTHEAST BANCORP,FIRST NORTHWEST BANCORP,"SOUTHEASTERN BANCORP, INC.","FIRST SOUTHWEST BANCORPORATION, INC.",UFS BANCORP,"SOUTHERN BANCORP, INC",FSB BANCORP,SAN BANCORP.
2993,Green Bancorp,"GREEN BANCORP, INC.",RSNB BANCORP,GREENFIELD BANCORP MHC,RESURGENS BANCORP,SEBREE BANKCORP,FREEDOM BANCORP,"FIRST GREEN BANCORP, INC.",GREENVILLE NATIONAL BANCORP,"GREEN VALLEY BANCORP, MHC","BREMEN BANCORP, INC."
2994,FNB,"FNB, INC.",FNB BANCORP,FNB COMPANY,FNB CORPORATION,"FNB SHARES, INC.","CCFNB BANCORP, INC.",FNBC BANCORP INC,FNB FINANCIAL CORP.,"FNBK HOLDINGS, INC.",FNB BANCSHARES INC.
2995,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HARRIS TAUBMAN FINANCIAL CORPORATION,NORTHERN STATES FINANCIAL CORPORATION,"NEBRASKALAND FINANCIAL SERVICES, INC.",SOUTHEASTERN BANK FINANCIAL CORPORATION,TRUSTATLANTIC FINANCIAL CORPORATION,FARMERS AND MERCHANTS FINANCIAL CORPORATION,BANK OF HIGHLAND PARK FINANCIAL CORP
2996,BNC Bancorp,BNC BANCORP,NCAL BANCORP,CU BANCORP,FNB BANCORP,MNB BANCORP,TPB BANCORP,CNB BANCORP,FSB BANCORP,BOR BANCORP,SAN BANCORP.
2997,Home BancShares,"HOME BANCSHARES, INC.","MOUNTAIN HOME BANCSHARES, INC.","HOMETOWN BANCSHARES, INC.","HOPE BANCSHARES, INC.","CHEROKEE BANCSHARES, INC.","HOPETON BANCSHARES, INC.","HOMETRUST BANCSHARES, INC.","SHORE BANCSHARES, INC.","MAHNOMEN BANCSHARES, INC.","HODGE BANCSHARES, INC."
2998,PBB Bancorp,PBB BANCORP,TPB BANCORP,CBB BANCORP,RBB BANCORP,FNB BANCORP,MNB BANCORP,CNB BANCORP,FSB BANCORP,BOR BANCORP,BEO BANCORP
2999,Northwest Bancorp,NORTHEAST BANCORP,FIRST NORTHWEST BANCORP,NORTHWEST INDIANA BANCORP,"NORTHEAST BANCORP, INC.",NORTH STATE BANCORP,"SOUTHWEST BANCORP, INC.","NORTHWEST BANCORPORATION, INC.",STATE BANCORP NORTHWEST,BOR BANCORP,NORTH SHORE BANCORP
3000,Juniata Valley Financial,JUNIATA VALLEY FINANCIAL CORP.,"RAE VALLEY FINANCIALS, INC.","VALLEY FINANCIAL GROUP, LTD.",CRYSTAL VALLEY FINANCIAL CORPORATION,CUMBERLAND VALLEY FINANCIAL CORPORATION,"MACKINAW VALLEY FINANCIAL SERVICES, INC.",BNH FINANCIAL,"PLATTE VALLEY FINANCIAL SERVICE COMPANIES, INC.",VALLEY FINANCIAL CORPORATION,FIRST PALMETTO FINANCIAL CORPORATION
3001,First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS BANCORP, INC.","FARMERS & MERCHANTS AGENCY, INC.","FARMERS AND MERCHANTS BANCORP, THE","FARMERS & MERCHANTS BANCSHARES, INC.","FARMERS & MERCHANTS INVESTMENT, INC.",FIRST MCHENRY CORPORATION,"MINERS AND MERCHANTS BANCORP, INC."
3002,Citizens Finl Svcs,"CITIZENS FINANCIAL SERVICES, INC.","CITIZENS FINANCIAL GROUP, INC.",FIRST CITIZENS FINANCIAL CORP.,"CITIZENS INVESTMENT CO., INC.","CITIZENS NATIONAL BANCORP, INC.","CITIZENS BANCORP INVESTMENT, INC.",CITIZENS NATIONAL CORPORATION,CITIZENS NATIONAL BANC CORP.,"CITIZENS BANCSHARES OF BATESVILLE, INC.",CITIZENS INVESTMENT COMPANY
3003,Premier Finl Bancorp,PREMIER FINANCIAL CORP.,PREMIER COMMERCIAL BANCORP,FNB BANCORP,MNB BANCORP,NCAL BANCORP,"PREMIER COMMERCE BANCORP, INC.","PREMIER FINANCIAL BANCORP, INC.","PACIFIC PREMIER BANCORP, INC.",CNB BANCORP,SAN BANCORP.
3004,Nationalmmerce,LEWELLEN NATIONAL CORP.,NATIONAL COMMERCE CORPORATION,"SOLERA NATIONAL BANCORP, INC.","NATIONAL PENN BANCSHARES, INC.",SECURITY NATIONAL CORPORATION,FIRST NATIONAL FINANCIAL SERVICES INC.,PARK NATIONAL CORPORATION,SIMMONS FIRST NATIONAL CORPORATION,"NATIONAL UNITED BANCSHARES, INC.","FIRST NATIONAL AGENCY, INC."
3005,Amer Riviera Bank,AMERICAN RIVER BANKSHARES,WOORI BANK,AMERICAN BANK INCORPORATED,FIRST AMERICAN BANK CORPORATION,AMERICAN BANK HOLDING CORPORATION,"MID AMERICA BANKS, INC.","MERIWETHER BANK SHARES, INC.",NATIONAL AUSTRALIA BANK LIMITED,PINE RIVER BANK CORP.,NATIONAL CONSUMER COOPERATIVE BANK
3006,Preferred Bank,"PREFERRED BANCORP, INC.",FIRST PIONEER BANK CORP.,"CARPENTER BANK PARTNERS, INC.","PIONEER BANK SHARES, INC.",FLEETWOOD BANK CORPORATION,"SPRINGFIELD BANK COMPANY, INC.","KERNDT BANK SERVICES, INC.","MERIWETHER BANK SHARES, INC.",INDEPENDENT BANK CORP.,OXFORD BANK CORPORATION
3007,Independent Bank Group,"INDEPENDENT BANK GROUP, INC.",INDEPENDENT BANK CORP.,INDEPENDENT BANK CORPORATION,INDEPENDENCE BANCCORP,"MIDWEST BANK GROUP, INC.","COMMUNITY INDEPENDENT BANCORP, INC.","CITIZENS INDEPENDENT BANCORP, INC.",INDEPENDENT BANKERS FINANCIAL CORPORATION,"INDEPENDENT BANCORP., LIMITED","FIRST INDEPENDENT BANCSHARES, INC."
3008,Suncrest Bank,"SUNTRUST BANKS, INC.",ISRAEL DISCOUNT BANK LIMITED,"SECURITY BANK SHARES, INC.","ARVEST BANK GROUP, INC.",EXCHANGE STATE BANK CORP.,"CARPENTER BANK PARTNERS, INC.",COMMUNITY SHORES BANK CORPORATION,UNITED BANK CORPORATION,FIRST BANK CORP,MERCHANTS AND MANUFACTURERS BANK CORPORATION
3009,Glacier Bancorp,"GLACIER BANCORP, INC.",LIBERTY BANCORP,CEDAR BANCORP,CU BANCORP,DELMAR BANCORP,CUSTER BANCORP.,SIERRA BANCORP,MARINER'S BANCORP,CASCADE BANCORP,PACWEST BANCORP
3010,FNB,"FNB, INC.",FNB BANCORP,FNB COMPANY,FNB CORPORATION,"FNB SHARES, INC.","CCFNB BANCORP, INC.",FNBC BANCORP INC,FNB FINANCIAL CORP.,"FNBK HOLDINGS, INC.",FNB BANCSHARES INC.
3011,Lakeland Bancorp,"LAKELAND BANCORP, INC.",CORTLAND BANCORP,TIMBERLAND BANCORP,HEARTLAND BANCCORP,SAN BANCORP.,CU BANCORP,"IRELAND BANCORP, LTD.","HOLLAND BANCORP, INC.",HAZARD BANCORP,DELMAR BANCORP
3012,Old Line Bancshares,"OLD LINE BANCSHARES, INC.","ODIN BANCSHARES, INC.","ODEM BANCSHARES, INC.","TODD BANCSHARES, INC.","LINDEN BANCSHARES, INC.","NOBLE BANCSHARES, INC.","ROYAL BANCSHARES, INC.","MOODY BANCSHARES, INC.","ONB BANCSHARES, INC.","VOGEL BANCSHARES, INC."
3013,Prosperity Bancshares,"PROSPERITY BANCSHARES, INC.",SECURITY BANCSHARES CO.,"SECURITY BANCSHARES, INC.",OSAKIS BANCSHARES,"PORT BANCSHARES, INC.","HOPE BANCSHARES, INC.",SECURITY BANCSHARES CORPORATION,"SPEER BANCSHARES, INC.","PERRY BANCSHARES, INC.","BOSP BANCSHARES, INC."
3014,BNC Bancorp,BNC BANCORP,NCAL BANCORP,CU BANCORP,FNB BANCORP,MNB BANCORP,TPB BANCORP,CNB BANCORP,FSB BANCORP,BOR BANCORP,SAN BANCORP.
3015,BB&T,BB&T CORPORATION,SVB&T CORPORATION,BBS CORP.,BBJ INCORPORATED,"KSB, LTD.","CSB&T BANCORP, INC.","ABBY BANCORP, INC.",CBB FINANCIAL CORP.,"S.B.T. FINANCIAL, INC.","CB&T BANCSHARES, INC."
3016,Oak Valley Bancorp,OAK VALLEY BANCORP,"LAKE VALLEY BANCORP, INC.",MISSION VALLEY BANCORP,OHIO VALLEY BANC CORP.,"KAW VALLEY BANCORP, INC.","VALLEY BANCORP, INC.",RIVER VALLEY BANCORP,VALLEY NATIONAL BANCORP,ASSABET VALLEY BANCORP,"PLATTE VALLEY BANCORP, INC."
3017,California Bank ofmmerce,"BANC OF CALIFORNIA, INC.",WOORI BANK,SECURITY CALIFORNIA BANCORP,CALIFORNIA REPUBLIC BANCORP,CSRA BANK CORP.,"NORTHERN CALIFORNIA BANCORP, INC.",CANADIAN IMPERIAL BANK OF COMMERCE,BANK OF MONTREAL,FIRST BANK CORP,DELHI BANK CORP.
3018,Park Sterling,PARK STERLING CORPORATION,STERLING BANCORP,"MOUNT STERLING BANCORP, INC","STERLING BANCSHARES, INC.","STERLING CITY BANCSHARES, INC.","STERLING FINANCIAL GROUP, INC.","PARK RAPIDS BANCSHARES, INC.",PARK NATIONAL CORPORATION,"FIRST HOLDING COMPANY OF PARK RIVER, INC","CLARKEL, INC."
3019,Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,"AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,"ANDERSON BANCORP, INC.","GERMAN AMERICAN BANCORP, INC.","AMERICAN METRO BANCORP, INC.","USAMERIBANCORP, INC.","AMERICAN BANCOR, LTD.","AMERICAN BANCORP OF OKLAHOMA, INC."
3020,Pacific Premier Bancorp,"PACIFIC PREMIER BANCORP, INC.",TRANS PACIFIC BANCORP,PACIFIC ENTERPRISE BANCORP,PALM BANCORP,F&M BANCORP,"PREMIER FINANCIAL BANCORP, INC.",CU BANCORP,TPB BANCORP,CNB BANCORP,BOR BANCORP
